productCode,name,description,mrp,sellingPrice,stock,tag,unit,perQty,status,image
,Ground Chakkar Normal,Traditional spinning firework,50,35,50,Popular,Box,10,Active,
,Ground Chakkar Deluxe,Larger spin with bright sparks,90,70,50,Trending,Box,10,Active,
,Ground Chakkar Big,Long lasting ground spinner,150,110,50,Special,Box,10,Active,
,Ground Chakkar Jumbo,Giant size with intense sparks,220,170,50,Premium,Box,5,Active,
,Zamin Chakkar Asoka,Classic green and gold sparkles,120,90,50,Popular,Box,10,Active,
,Red & Green Chakkar,Spins with alternating dual colors,180,140,50,New,Box,5,Active,
,Multi Color Chakkar,Vibrant multi-color ground spinner,200,150,50,Trending,Box,5,Active,
,Disco Chakkar,High-speed spinning with crackling sound,140,105,50,Popular,Box,10,Active,
,Musical Chakkar,Spins with a unique whistling sound,160,125,50,Special,Box,5,Active,
,Digital Chakkar,Premium multi-stage sparkling effect,250,195,50,Premium,Box,5,Active,
